,Program Name,Sponsor,Borough,Zipcode,Phone,Location 1,latLon,Lat,Lon
95,LA GUARDIA SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,MANHATTAN,10002,212-732-3656,"280 CHERRY STREET
MANHATTAN, NY 10002
(40.711427319796066, -73.98804269539023)","40.711427319796066, -73.98804269539023",40.711427319796066,-73.98804269539023
96,LEFRAK SENIOR CITIZENS CENTER,ELMCOR YOUTH & ADULT ACTIVITIES INC,QUEENS,11368,718 271-1222,"98 16 55TH AVENUE
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)","40.749678220373596, -73.85304068857687",40.749678220373596,-73.85304068857687
97,LENOX HILL SENIOR CENTER,LENOX HILL NEIGHBORHOOD HOUSE INC,MANHATTAN,10021,212-744-5905,"343 70TH STREET
MANHATTAN, NY 10021
(40.767085064616346, -73.95826959609933)","40.767085064616346, -73.95826959609933",40.767085064616346,-73.95826959609933
98,LENOX HILL SENIOR CENTER II,LENOX HILL NEIGHBORHOOD HOUSE INC,MANHATTAN,10022,212-308-1959,"619 LEXINGTON AVENUE
MANHATTAN, NY 10022
(40.75867891119946, -73.9707368555664)","40.75867891119946, -73.9707368555664",40.75867891119946,-73.9707368555664
99,LEONARD COVELLO SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,MANHATTAN,10029,212-423-9665,"312 109TH STREET
MANHATTAN, NY 10029
(40.792446564152705, -73.94083540771007)","40.792446564152705, -73.94083540771007",40.792446564152705,-73.94083540771007
100,LOS SURES SENIOR CENTER,SOUTHSIDE UNITED HOUSING DVLPMNT FUND CORP,BROOKLYN,11211,718 384-2314,"201 4TH STREET
BROOKLYN, NY 11211
(40.714887364193906, -73.95735966141247)","40.714887364193906, -73.95735966141247",40.714887364193906,-73.95735966141247
101,M MCLEOD BETHUNE SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10032,(212) 928-6086,"1970 AMSTERDAM AVENUE
MANHATTAN, NY 10032
(40.83317967818829, -73.94180505699194)","40.83317967818829, -73.94180505699194",40.83317967818829,-73.94180505699194
102,MANHATTANVILLE-RIVERSIDE SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10031,212-862-5562,"3333 BROADWAY
MANHATTAN, NY 10031
(40.81993459520034, -73.95535935574574)","40.81993459520034, -73.95535935574574",40.81993459520034,-73.95535935574574
103,MARIA LAWTON SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11206,718-452-7474,"400 HART STREET
BROOKLYN, NY 11206
(40.69472135330039, -73.93502862780953)","40.69472135330039, -73.93502862780953",40.69472135330039,-73.93502862780953
104,MECHLER HALL SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,BRONX,10472,718-892-1396,"2158 WATSON AVENUE
BRONX, NY 10472
(40.829582120800445, -73.85179885171588)","40.829582120800445, -73.85179885171588",40.829582120800445,-73.85179885171588
105,MELROSE MOTT HAVEN SENIOR CENTER,EAST SIDE HOUSE INC,BRONX,10455,718-665-2280,"372 152ND STREET
BRONX, NY 10455
(40.81847751811005, -73.9178981007661)","40.81847751811005, -73.9178981007661",40.81847751811005,-73.9178981007661
106,MIDDLE VILLAGE OLDER ADULT CENTER,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY AMERICA,QUEENS,11379,718 894-3441,"69 10 75TH STREET
QUEENS, NY 11379
(40.71679766547993, -73.87933421310339)","40.71679766547993, -73.87933421310339",40.71679766547993,-73.87933421310339
107,MITCHELL HOUSES,EAST SIDE HOUSE INC,BRONX,10454,718-665-2168,"188 LINCOLN AVENUE
BRONX, NY 10454
(40.809779983517025, -73.9279925746756)","40.809779983517025, -73.9279925746756",40.809779983517025,-73.9279925746756
108,MORIAH OLDER ADULT LUNCHEON CLUB,AGUDATH ISRAEL OF AMERICA COMM SERVICES INC,MANHATTAN,10033,212 923-5715,"90 BENNETT AVENUE
MANHATTAN, NY 10033
(40.85307268147642, -73.93533893160128)","40.85307268147642, -73.93533893160128",40.85307268147642,-73.93533893160128
109,MOTT STREET SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,MANHATTAN,10012,212-966-5460,"180 MOTT STREET
MANHATTAN, NY 10012
(40.72056550252502, -73.99583649241136)","40.72056550252502, -73.99583649241136",40.72056550252502,-73.99583649241136
110,NEIGHBORHOOD SHOPP CASA BORICUA SR CTR,NEIGHBORHOOD SELF-HELP BY OLDER PERSONS ,BRONX,10460,718-542-0006,"910 172ND STREET
BRONX, NY 10460
(40.83418922117395, -73.89020092303998)","40.83418922117395, -73.89020092303998",40.83418922117395,-73.89020092303998
111,NEWTOWN ITALIAN SENIOR CENTER,ITALIAN SENIOR CITIZENS CENTER,QUEENS,11373,718 335-7272,"83 20 QUEENS BOULEVARD
QUEENS, NY 11373
(40.73871040256307, -73.87835115518163)","40.73871040256307, -73.87835115518163",40.73871040256307,-73.87835115518163
112,NORTHEAST BRONX SENIOR CITIZEN CENTER,NORTHEAST BRONX SENIOR CITIZEN CENTER INC,BRONX,10465,718-892-6090,"2968 BRUCKNER BOULEVARD
BRONX, NY 10465
(40.83389448077485, -73.82617943316052)","40.83389448077485, -73.82617943316052",40.83389448077485,-73.82617943316052
113,NY CHINATOWN SENIOR CENTER,CHINESE-AMERICAN PLANNING COUNCIL,MANHATTAN,10013,212-233-8930,"70 MULBERRY STREET
MANHATTAN, NY 10013
(40.716141909295175, -73.99917280924103)","40.716141909295175, -73.99917280924103",40.716141909295175,-73.99917280924103
114,OUR LADY OF POMPEII SENIOR CENTER,CARING COMMUNITY INC,MANHATTAN,10014,212 267-0499,"25 CARMINE STREET
MANHATTAN, NY 10014
(40.73029710733255, -74.00266299627927)","40.73029710733255, -74.00266299627927",40.73029710733255,-74.00266299627927
115,PARK SLOPE SENIOR CITIZENS CENTER,PARK SLOPE SENIOR CITIZENS CENTER INC,BROOKLYN,11215,718-832-3726,"463A 7TH STREET
BROOKLYN, NY 11215
(40.66833534345808, -73.98098491446339)","40.66833534345808, -73.98098491446339",40.66833534345808,-73.98098491446339
116,PETER CARDELLA SENIOR CITIZEN CENTER,PETER CARDELLA SENIOR CITIZEN CENTER INC,QUEENS,11385,718 497-2908,"68 52 FRESH POND ROAD
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)","40.70122489161548, -73.88334858436963",40.70122489161548,-73.88334858436963
117,PIO MENDEZ,SEBCO DEVELOPMENT INC,BRONX,10474,718-617-1514,"1291 LAFAYETTE AVENUE
BRONX, NY 10474
(40.816808660417436, -73.88748488218056)","40.816808660417436, -73.88748488218056",40.816808660417436,-73.88748488218056
118,POMONOK SENIOR CENTER,QUEENS COMMUNITY HOUSE INC.,QUEENS,11367,718-591-3377,"67 09 KISSENA BOULEVARD
QUEENS, NY 11367
(40.730323085042414, -73.82610630716033)","40.730323085042414, -73.82610630716033",40.730323085042414,-73.82610630716033
119,PROJECT FIND CLINTON SENIOR CENTER,FIND AID FOR THE AGED,MANHATTAN,10019,212 757-2026,"530 55TH STREET
MANHATTAN, NY 10019
(40.768405831836645, -73.9909814223789)","40.768405831836645, -73.9909814223789",40.768405831836645,-73.9909814223789
120,PROJECT FIND COFFEEHOUSE SENIOR CENTER,FIND AID FOR THE AGED,MANHATTAN,10018,212 947-5466,"551 NINTH AVENUE
MANHATTAN, NY 10018
(40.75747861361809, -73.9933502506233)","40.75747861361809, -73.9933502506233",40.75747861361809,-73.9933502506233
121,PROJECT FIND HAMILTON HOUSE,FIND AID FOR THE AGED,MANHATTAN,10023,212-787-7710,"141 73RD STREET
MANHATTAN, NY 10023
(40.77868715387852, -73.9796217163088)","40.77868715387852, -73.9796217163088",40.77868715387852,-73.9796217163088
122,PROJECT FIND WOODSTOCK SENIOR CENTER,FIND AID FOR THE AGED,MANHATTAN,10036,212-575-0693,"127 43RD STREET
MANHATTAN, NY 10036
(40.75596275774701, -73.98457686399813)","40.75596275774701, -73.98457686399813",40.75596275774701,-73.98457686399813
123,PROSPECT HILL SENIOR SERVICES CENTER,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH,BROOKLYN,11215,718 499-9574,"283 PROSPECT AVENUE
BROOKLYN, NY 11215
(40.66327557621057, -73.9890518678046)","40.66327557621057, -73.9890518678046",40.66327557621057,-73.9890518678046
124,PSS ANDREW JACKSON SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES,BRONX,10451,718-585-1640,"325 156TH STREET
BRONX, NY 10451
(40.821455750073234, -73.91807004036151)","40.821455750073234, -73.91807004036151",40.821455750073234,-73.91807004036151
125,PSS HARLEM SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES,MANHATTAN,10027,347-834-3724,"18 MOUNT MORRIS PARK
MANHATTAN, NY 10027
(40.80507286413923, -73.94524837361095)","40.80507286413923, -73.94524837361095",40.80507286413923,-73.94524837361095
126,PSS HIGHBRIDGE SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES,BRONX,10452,718-588-3004,"1181 NELSON AVENUE
BRONX, NY 10452
(40.837140173101055, -73.92580213698804)","40.837140173101055, -73.92580213698804",40.837140173101055,-73.92580213698804
127,PSS-DAVIDSON SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES,BRONX,10459,718-328-2811,"950 UNION AVENUE
BRONX, NY 10459
(40.822783380787776, -73.90179603616795)","40.822783380787776, -73.90179603616795",40.822783380787776,-73.90179603616795
128,QUEENSBRIDGE-RIIS SENIOR CENTER,JACOB A RIIS NEIGHBORHOOD SETTLEMENT HOUSE INC,QUEENS,11101,718-784-7447,"10 25 41ST AVENUE
QUEENS, NY 11101
(40.74570244980828, -73.93866902925225)","40.74570244980828, -73.93866902925225",40.74570244980828,-73.93866902925225
129,RAICES ASTORIA SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,QUEENS,11102,718 726-9642,"21 21 30TH DRIVE
QUEENS, NY 11102
(40.77152402451418, -73.92643545073543)","40.77152402451418, -73.92643545073543",40.77152402451418,-73.92643545073543
130,RAICES CORONA SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,QUEENS,11368,718 458-7259,"107 24 CORONA AVENUE
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)","40.749678220373596, -73.85304068857687",40.749678220373596,-73.85304068857687
131,RAIN COLLEGE AVENUE SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC,BRONX,10456,718-681-7993,"1020 COLLEGE AVENUE
BRONX, NY 10456
(40.8290338317234, -73.91549921590509)","40.8290338317234, -73.91549921590509",40.8290338317234,-73.91549921590509
132,RAIN EAST TREMONT SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC,BRONX,10461,718-892-2131,"2405 TREMONT AVENUE
BRONX, NY 10461
(40.84249830635053, -73.85333249482402)","40.84249830635053, -73.85333249482402",40.84249830635053,-73.85333249482402
133,RAIN MIDDLETOWN SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC,BRONX,10461,(718)822-0486,"3035 MIDDLETOWN ROAD
BRONX, NY 10461
(40.84437903805726, -73.82879007777989)","40.84437903805726, -73.82879007777989",40.84437903805726,-73.82879007777989
134,RAIN PARKCHESTER SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC,BRONX,10462,718-597-9220,"1380 METROPOLITAN AVENUE
BRONX, NY 10462
(40.8351671876611, -73.86090828229774)","40.8351671876611, -73.86090828229774",40.8351671876611,-73.86090828229774
135,RAVENSWOOD SENIOR CENTER,HELLENIC AMER. NEIGHBORHOOD ACTION COMMITTEE,QUEENS,11106,718 786-1550,"34 35A 12TH STREET
QUEENS, NY 11106
(40.761699790013324, -73.9316632529567)","40.761699790013324, -73.9316632529567",40.761699790013324,-73.9316632529567
136,RED HOOK SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,BROOKLYN,11231,718 625-4844,"6 WOLCOTT STREET
BROOKLYN, NY 11231
(40.67535465352987, -74.00993105478652)","40.67535465352987, -74.00993105478652",40.67535465352987,-74.00993105478652
137,REGO PARK SENIOR CENTER,QUEENS COMMUNITY HOUSE INC.,QUEENS,11374,718-896-8511,"93 29 QUEENS BOULEVARD
QUEENS, NY 11374
(40.72646491702238, -73.86148084756303)","40.72646491702238, -73.86148084756303",40.72646491702238,-73.86148084756303
138,REMSEN SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11236,718-566-8421,"650 REMSEN AVENUE
BROOKLYN, NY 11236
(40.65105333208473, -73.91807453594188)","40.65105333208473, -73.91807453594188",40.65105333208473,-73.91807453594188
139,RIDGEWOOD BUSHWICK SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11237,718 366-3040,"319 STANHOPE STREET
BROOKLYN, NY 11237
(40.70292022699671, -73.91828495792518)","40.70292022699671, -73.91828495792518",40.70292022699671,-73.91828495792518
140,RIDGEWOOD OLDER ADULT CENTER,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC,QUEENS,11385,718 456-2000,"59 14 70TH AVENUE
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)","40.70122489161548, -73.88334858436963",40.70122489161548,-73.88334858436963
141,RIVERSTONE SENIOR LIFE SERVICES SR CTR,RIVERSTONE SENIOR LIFE SERVICES INC.,MANHATTAN,10032,212-927-5600,"99 FORT WASHINGTON AVENUE
MANHATTAN, NY 10032
(40.8390432578193, -73.94352276206791)","40.8390432578193, -73.94352276206791",40.8390432578193,-73.94352276206791
142,ROBERT COUCHE SENIOR CITIZEN CENTER,MERRILL PARK CIVIC ASSOCIATION INC,QUEENS,11434,718 978-8352,"137 57 FARMERS BOULEVARD
QUEENS, NY 11434
(40.6769452621142, -73.77530690169215)","40.6769452621142, -73.77530690169215",40.6769452621142,-73.77530690169215
143,ROCHDALE SENIOR CENTER,ROCHDALE VILLAGE SOCIAL SERVICES INC,QUEENS,11434,718 525-2800,"169 65 137TH AVENUE
QUEENS, NY 11434
(40.6769452621142, -73.77530690169215)","40.6769452621142, -73.77530690169215",40.6769452621142,-73.77530690169215
144,ROOSEVELT ISLAND SENIOR CENTER,ROOSEVELT ISLAND SENIORS ASSOCIATION INC,MANHATTAN,10044,212 980-1888,"546 MAIN STREET
MANHATTAN, NY 10044
(40.76203195297977, -73.9496464373282)","40.76203195297977, -73.9496464373282",40.76203195297977,-73.9496464373282
145,ROSETTA GASTON SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11212,718 345-5665,"460 DUMONT AVENUE
BROOKLYN, NY 11212
(40.66513872466787, -73.90209918575998)","40.66513872466787, -73.90209918575998",40.66513872466787,-73.90209918575998
146,ROUNDTABLE SENIOR CITIZENS CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11221,718 443-1903,"1175 GATES AVENUE
BROOKLYN, NY 11221
(40.69177388027999, -73.91986777538398)","40.69177388027999, -73.91986777538398",40.69177388027999,-73.91986777538398
147,SAINT GABRIELS SENIOR CENTER,ST GABRIELS EPISCOPAL CHURCH,BROOKLYN,11225,718-773-4049,"331 HAWTHORNE STREET
BROOKLYN, NY 11225
(40.65792935573298, -73.94934509390144)","40.65792935573298, -73.94934509390144",40.65792935573298,-73.94934509390144
148,SCHOMBURG SENIOR CENTER,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,MANHATTAN,10029,212 369-9390,"1309 FIFTH AVENUE
MANHATTAN, NY 10029
(40.797255079090455, -73.94890651883725)","40.797255079090455, -73.94890651883725",40.797255079090455,-73.94890651883725
149,SEBCO SENIOR PROGRAMS,SEBCO DEVELOPMENT INC,BRONX,10459,(718)617-3465,"887 SOUTHERN BOULEVARD
BRONX, NY 10459
(40.81894710025369, -73.89355466567055)","40.81894710025369, -73.89355466567055",40.81894710025369,-73.89355466567055
150,SELFHELP AUSTIN ST SENIOR CENTER,SELFHELP COMMUNITY SERVICES INC,QUEENS,11375,718-520-8197,"106 06 QUEENS BOULEVARD
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)","40.720707263029794, -73.84628429608335",40.720707263029794,-73.84628429608335
151,SELFHELP BENJAMIN ROSENTHAL PRINCE ST.,SELFHELP COMMUNITY SERVICES INC,QUEENS,11355,718-886-5777,"45 25 KISSENA BOULEVARD
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)","40.7512997969481, -73.82147854789662",40.7512997969481,-73.82147854789662
152,SELFHELP CLEARVIEW SENIOR CENTER,SELFHELP COMMUNITY SERVICES INC,QUEENS,11360,718-224-7888,"208 11 26TH AVENUE
QUEENS, NY 11360
(40.78070133439911, -73.78226733686807)","40.78070133439911, -73.78226733686807",40.78070133439911,-73.78226733686807
153,SELFHELP LATIMER GARDENS SENIOR CENTER,SELFHELP COMMUNITY SERVICES INC,QUEENS,11355,718-961-3660,"34 30 137 STREET
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)","40.7512997969481, -73.82147854789662",40.7512997969481,-73.82147854789662
154,SELFHELP MASPETH SENIOR CENTER,SELFHELP COMMUNITY SERVICES INC,QUEENS,11378,718 429-3636,"69 61 GRAND AVENUE
QUEENS, NY 11378
(40.72145310497689, -73.90854350068196)","40.72145310497689, -73.90854350068196",40.72145310497689,-73.90854350068196
155,SHALOM SENIOR CENTER,CROWN HEIGHTS PRESERVATION CORP,BROOKLYN,11203,718 774-9213,"483 ALBANY AVENUE
BROOKLYN, NY 11203
(40.66346648493907, -73.93993651978793)","40.66346648493907, -73.93993651978793",40.66346648493907,-73.93993651978793
156,SIROVICH SENIOR CENTER,THE EDUCATIONAL ALLIANCE INC,MANHATTAN,10003,212-228-7836,"331 12TH STREET
MANHATTAN, NY 10003
(40.73074361878921, -73.9851754915284)","40.73074361878921, -73.9851754915284",40.73074361878921,-73.9851754915284
157,SMITH HOUSES SENIOR CENTER,HAMILTON MADISON HOUSE INC,MANHATTAN,10038,212-349-3724,"50 MADISON STREET
MANHATTAN, NY 10038
(40.71192038232926, -73.99800634825307)","40.71192038232926, -73.99800634825307",40.71192038232926,-73.99800634825307
158,SNAP BROOKVILLE SENIOR CENTER,SERVICES NOW FOR ADULT PERSONS INC,QUEENS,11422,718-525-8899,"133 33 BROOKVILLE BOULEVARD
QUEENS, NY 11422
(40.66161349396765, -73.736051726406)","40.66161349396765, -73.736051726406",40.66161349396765,-73.736051726406
159,SNAP OF EASTERN QUEENS SENIOR CENTER,SERVICES NOW FOR ADULT PERSONS INC,QUEENS,11427,718 454-2100,"80 45 WINCHESTER BOULEVARD
QUEENS, NY 11427
(40.72931057432362, -73.75067602128132)","40.72931057432362, -73.75067602128132",40.72931057432362,-73.75067602128132
160,STANLEY ISAACS SENIOR CENTER,STANLEY M ISAACS NEIGHBORHOOD CENTER INC,MANHATTAN,10128,(212) 360-7620,"415 93RD STREET
MANHATTAN, NY 10128
(40.7812386658001, -73.94580276497054)","40.7812386658001, -73.94580276497054",40.7812386658001,-73.94580276497054
161,STEIN SENIOR CENTER,EAST SIDE COMMUNITY GROUP FOR SR SERVICES INC,MANHATTAN,10010,646-395-8083,"340 24TH STREET
MANHATTAN, NY 10010
(40.73781071884919, -73.97872642607446)","40.73781071884919, -73.97872642607446",40.73781071884919,-73.97872642607446
162,SUNNYSIDE COMMUNITY SENIOR CENTER,SUNNYSIDE COMMUNITY SERVICES INC,QUEENS,11104,718-784-6173,"43 31 39TH STREET
QUEENS, NY 11104
(40.74489336663561, -73.92054134530679)","40.74489336663561, -73.92054134530679",40.74489336663561,-73.92054134530679
163,SUNSET PARK SENIOR CENTER,SUNSET BAY COMMUNITY SERVICES INC,BROOKLYN,11220,718-210-1050,"4520 FOURTH AVENUE
BROOKLYN, NY 11220
(40.64920987486405, -74.0098758480672)","40.64920987486405, -74.0098758480672",40.64920987486405,-74.0098758480672
164,SWINGING 60S SENIOR CENTER,CONSELYEA ST BLOCK ASSOCIATION INC,BROOKLYN,11211,718-963-3793,"211 AINSLIE STREET
BROOKLYN, NY 11211
(40.71298249503136, -73.94561984904948)","40.71298249503136, -73.94561984904948",40.71298249503136,-73.94561984904948
165,THOMAS L. GUESS COMMUNITY SENIOR CENTER,TREMONT COMM. SR CIT SERVICE CENTER,BRONX,10457,718-584-2357,"2070 CLINTON AVENUE
BRONX, NY 10457
(40.84726877920528, -73.8880563494758)","40.84726877920528, -73.8880563494758",40.84726877920528,-73.8880563494758
166,TILDEN SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11212,718-498-2990,"630 MOTHER GASTON BOULEVARD
BROOKLYN, NY 11212
(40.66345634807682, -73.90535580252431)","40.66345634807682, -73.90535580252431",40.66345634807682,-73.90535580252431
167,TIMES PLAZA SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,BROOKLYN,11217,718-694-0895,"460 ATLANTIC AVENUE
BROOKLYN, NY 11217
(40.686203812919096, -73.98303321509144)","40.686203812919096, -73.98303321509144",40.686203812919096,-73.98303321509144
168,UBA BEATRICE LEWIS SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10035,212-289-9155,"2322 THIRD AVENUE
MANHATTAN, NY 10035
(40.80464419019859, -73.93512309431424)","40.80464419019859, -73.93512309431424",40.80464419019859,-73.93512309431424
169,UJC ADULT LUNCHEON CLUB,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,MANHATTAN,10002,212 673-9328,"15 BIALYSTOKER PLACE
MANHATTAN, NY 10002
(40.71574085281538, -73.98294622193168)","40.71574085281538, -73.98294622193168",40.71574085281538,-73.98294622193168
170,UNIVERSITY SETTLEMENT NUTRITION,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK INC,MANHATTAN,10002,212-473-8217,"189 ALLEN STREET
MANHATTAN, NY 10002
(40.7221795297894, -73.98910722393583)","40.7221795297894, -73.98910722393583",40.7221795297894,-73.98910722393583
171,VAN DYKE SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11212,718 385-1110,"430 DUMONT AVENUE
BROOKLYN, NY 11212
(40.66496861824193, -73.90329772952586)","40.66496861824193, -73.90329772952586",40.66496861824193,-73.90329772952586
172,VANDALIA SENIOR CENTER,BERGEN BASIN COMM DEV CORP/MILLENNIUM DEV CORP,BROOKLYN,11239,718 272-3949,"47 VANDALIA AVENUE
BROOKLYN, NY 11239
(40.64987903510383, -73.88665191331108)","40.64987903510383, -73.88665191331108",40.64987903510383,-73.88665191331108
173,WASH HGTS COMMUNITY SVC SENIOR CENTER,WASHINGTON HEIGHTS COMMUNITY SERVICE INC,MANHATTAN,10033,212-781-8331,"650 187TH STREET
MANHATTAN, NY 10033
(40.85357906283999, -73.93228822125558)","40.85357906283999, -73.93228822125558",40.85357906283999,-73.93228822125558
174,WAYSIDE TOMPKINS PARK SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11216,718 638-3000,"550 GREENE AVENUE
BROOKLYN, NY 11216
(40.688662422549285, -73.94865379650403)","40.688662422549285, -73.94865379650403",40.688662422549285,-73.94865379650403
175,WEST SIDE FEDERATION SENIOR CENTER,WEST SIDE FEDERATION FOR SR AND SUPPORTIVE HSG,MANHATTAN,10025,212-749-7015,"135 106TH STREET
MANHATTAN, NY 10025
(40.79969369363773, -73.96386939010006)","40.79969369363773, -73.96386939010006",40.79969369363773,-73.96386939010006
176,WILLIAM HODSON SENIOR CENTER,WILLIAM HODSON COMMUNITY CENTER INC,BRONX,10456,(718)538-1515,"1320 WEBSTER AVENUE
BRONX, NY 10456
(40.83410856373623, -73.90851196427082)","40.83410856373623, -73.90851196427082",40.83410856373623,-73.90851196427082
177,WILLIAMSBURG-SATMAR SENIOR CENTER,CONGREGATION YETEV LEV DSATMAR,BROOKLYN,11206,718 625-1608,"125 HEYWARD STREET
BROOKLYN, NY 11206
(40.70174123268582, -73.95607752155118)","40.70174123268582, -73.95607752155118",40.70174123268582,-73.95607752155118
178,WILLOUGHBY SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11205,718-875-1011,"105 PORTLAND AVENUE
BROOKLYN, NY 11205
(40.69499756396937, -73.97613398622856)","40.69499756396937, -73.97613398622856",40.69499756396937,-73.97613398622856
179,WOODSIDE SENIOR CENTER,SAMARITAN VILLAGE INC,QUEENS,11377,718 932-6916,"50 37 NEWTOWN ROAD
QUEENS, NY 11377
(40.74519376448069, -73.9048471440804)","40.74519376448069, -73.9048471440804",40.74519376448069,-73.9048471440804
180,WYCKOFF GARDENS SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,BROOKLYN,11217,718 237-1802,"280 WYCKOFF STREET
BROOKLYN, NY 11217
(40.683406611835935, -73.98406230489184)","40.683406611835935, -73.98406230489184",40.683406611835935,-73.98406230489184
181,YOUNG ISRAEL FOREST HILLS SENIOR LEAGUE,YOUNG ISRAEL PROGRAMS INC,QUEENS,11375,718 520-2305,"68 07 BURNS STREET
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)","40.720707263029794, -73.84628429608335",40.720707263029794,-73.84628429608335
182,YOUNG ISRAEL QUEENS VALLEY,YOUNG ISRAEL PROGRAMS INC,QUEENS,11367,718 263-6995,"141 55 77TH AVENUE
QUEENS, NY 11367
(40.730323085042414, -73.82610630716033)", , , 
